season,player_id,player_name,team,rush_attempts,receptions,total_touches,rush_yards,rec_yards,total_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,late_epa,late_tds,fumbles_lost,scrimmage_yards,yards_per_touch,pct_team_yards,pct_team_tds,position,targets,catch_rate,target_share
1999,00-0007579,R.Holcombe,LA,70.0,13.0,83.0,283.0,133.0,,4.0,1.0,5.0,-8.819000244140625,3.0250000953674316,-5.794000148773193,-0.07,-2.306999921798706,1.0,2.0,416.0,5.012,6.9,9.6,RB,24.0,0.542,5.1
1999,00-0007969,R.Huntley,PIT,90.0,26.0,116.0,565.0,235.0,,5.0,3.0,8.0,13.833999633789062,19.020999908447266,32.85599899291992,0.283,3.809999942779541,2.0,2.0,800.0,6.897,16.8,25.0,RB,38.0,0.684,7.3
1999,00-0008060,R.Ismail,DAL,13.0,79.0,92.0,110.0,1090.0,,1.0,6.0,7.0,4.1020002365112305,71.0790023803711,75.18099975585938,0.817,10.722000122070312,2.0,0.0,1200.0,13.043,22.8,19.4,WR,130.0,0.608,26.5
1999,00-0011754,R.Moss,MIN,4.0,79.0,83.0,43.0,1392.0,,0.0,11.0,11.0,2.759999990463257,109.05400085449219,111.81500244140625,1.347,34.917999267578125,4.0,0.0,1435.0,17.289,24.2,25.0,WR,135.0,0.585,26.9
1999,00-0013785,R.Rivers,DET,80.0,22.0,102.0,286.0,173.0,,0.0,1.0,1.0,-12.557000160217285,9.02400016784668,-3.5320000648498535,-0.035,-7.873000144958496,0.0,0.0,459.0,4.5,9.0,3.4,RB,24.0,0.917,4.4
1999,00-0014759,R.Shehee,KC,65.0,18.0,83.0,238.0,136.0,,1.0,0.0,1.0,-14.41100025177002,-2.4179999828338623,-16.829999923706055,-0.203,0.0,0.0,0.0,374.0,4.506,6.9,2.8,RB,21.0,0.857,4.4
1999,00-0015286,R.Smith,MIN,219.0,24.0,243.0,1007.0,166.0,,2.0,0.0,2.0,-9.076000213623047,3.4769999980926514,-5.598999977111816,-0.023,5.242000102996826,2.0,1.0,1173.0,4.827,19.8,4.5,RB,30.0,0.8,6.0
1999,00-0015290,R.Smith,,0.0,77.0,77.0,0.0,1004.0,,0.0,4.0,4.0,0.0,76.64800262451172,76.64800262451172,0.995,29.320999145507812,2.0,0.0,1004.0,13.039,100400.0,400.0,WR,134.0,0.575,13400.0
1999,00-0016321,R.Thomas,TEN,42.0,8.0,50.0,161.0,67.0,,1.0,0.0,1.0,-4.38700008392334,1.3919999599456787,-2.994999885559082,-0.06,2.3469998836517334,1.0,0.0,228.0,4.56,4.5,2.4,RB,10.0,0.8,1.9
1999,00-0017322,R.Watters,SEA,322.0,39.0,361.0,1198.0,380.0,,5.0,2.0,7.0,-53.58599853515625,21.249000549316406,-32.3380012512207,-0.09,-6.6020002365112305,1.0,3.0,1578.0,4.371,31.9,23.3,RB,61.0,0.639,12.2
